ID,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole,HOMO,LUMO,GAP,IC50 (nM),pIC50,Y-Label
143,367.43,3,4,3,6,2.108,94.14,0.150570596,-0.208159342,2.9288,-0.33303,-0.02389,0.30914,295260,3.529795385,0
144,382.45,3,4,3,7,2.365,97.38,0.143596776,-0.176663774,5.3184,-0.32182,-0.03552,0.2863,301710,3.520410295,0
145,366.45,3,4,2,6,2.633,77.15,0.149870813,-0.114019128,5.4594,-0.33521,-0.03328,0.30193,431120,3.365401829,0
146,353.4,3,4,2,6,2.363,83.14,0.149592977,-0.18601789,3.8773,-0.33839,-0.02714,0.31125,447900,3.348818938,0
147,397.46,4,4,4,7,2.419,114.37,0.148927196,-0.300768263,2.4203,-0.32818,-0.03438,0.2938,470100,3.327809749,0
148,397.46,3,4,3,7,2.851,103.37,0.145037667,-0.262555441,5.3148,-0.32401,-0.02759,0.29642,591030,3.228390474,0
149,265.29,4,2,3,6,-0.178,98.07,0.169376515,-0.307393379,3.21,-0.3481,-0.02763,0.32047,760000,3.119186408,0
150,291.35,4,2,7,8,-0.882,148.03,0.180221892,-0.10676257,7.8793,-0.3458,-0.02133,0.32447,2600000,2.585026652,0
151,187.23,3,1,6,6,-1.051,119.43,0.1834868,-0.195658243,2.8539,-0.35715,0.02884,0.38599,4000000,2.397940009,0
152,145.18,1,1,4,4,-1.081,83.55,0.16938665,-0.245660268,2.1439,-0.37003,0.02852,0.39855,37000000,1.431798276,0
153,360.5,8,2,4,6,1.934,101.65,0.149543642,-0.248395582,5.3775,-0.35372,-0.01993,0.33379,0.3,9.522878745,1
154,312.42,7,1,6,8,-0.049,137.53,0.172179644,-0.239173453,3.5741,-0.34558,-0.01375,0.33183,0.5,9.301029996,1
155,326.45,8,1,6,8,0.475,137.53,0.168531,-0.248523134,3.0482,-0.34773,-0.01077,0.33696,0.5,9.301029996,1
156,312.47,8,1,6,7,0.907,128.3,0.163820306,-0.221851383,1.5856,-0.35258,0.04108,0.39366,1,9,1
157,296.41,7,1,4,6,0.511,101.65,0.160711409,-0.259783417,3.2651,-0.36223,-0.01679,0.34544,1,9,1
158,354.55,11,1,4,6,2.727,101.65,0.144229086,-0.352214464,3.018,-0.36183,-0.0126,0.34923,1,9,1
159,366.56,8,2,4,6,2.607,101.65,0.142365627,-0.351154951,4.936,-0.34809,-0.01573,0.33236,1,9,1
160,298.39,7,1,6,8,-0.426,137.53,0.1728245,-0.23028567,4.3049,-0.35312,-0.01901,0.33411,1.8,8.744727495,1
161,465.6,9,3,4,8,1.863,121.96,0.1507595,-0.226199507,2.3307,-0.32575,-0.01165,0.3141,2,8.698970004,1
162,302.39,6,1,4,7,0.356,101.65,0.157499535,-0.364394277,3.4678,-0.36842,-0.02189,0.34653,3,8.522878745,1
163,312.42,8,1,6,8,0.03,137.53,0.165598422,-0.231463918,6.3001,-0.36081,-0.00278,0.35803,3,8.522878745,1
164,405.5,8,2,5,9,0.077,142.19,0.163168018,-0.338058878,2.9677,-0.33258,-0.01354,0.31904,3,8.522878745,1
165,312.42,7,1,5,8,-0.22,126.04,0.164420244,-0.226571196,4.8585,-0.33206,-0.02376,0.3083,4.6,8.337242168,1
166,431.55,10,2,6,10,0.374,157.84,0.163871305,-0.207344799,6.372,-0.34045,-0.01324,0.32721,5,8.301029996,1
167,419.53,9,2,4,9,0.328,131.19,0.155063172,-0.326504842,2.0917,-0.3306,-0.01066,0.31994,5,8.301029996,1
168,458.38,8,2,4,8,1.673,121.96,0.151857093,-0.286938496,3.1104,-0.34792,-0.01503,0.33289,6,8.22184875,1
169,297.45,6,1,4,6,0.715,95.66,0.145625574,-0.200235509,2.7919,-0.34538,-0.01684,0.32854,6,8.22184875,1
170,325.41,3,2,4,8,-1.217,121.96,0.167755556,-0.296020097,1.1595,-0.35424,-0.01593,0.33831,6,8.22184875,1
171,453.66,15,1,6,10,2.079,157.84,0.152555157,-0.32450875,6.4657,-0.35341,-0.01313,0.34028,7,8.15490196,1
172,325.46,4,2,5,7,-0.196,115.89,0.150763408,-0.290403974,6.5738,-0.33807,-0.00924,0.32883,8,8.096910013,1
173,419.53,9,2,4,9,0.328,131.19,0.154977328,-0.327271205,1.9816,-0.32609,-0.01171,0.31438,8,8.096910013,1
174,389.5,7,2,4,8,0.198,121.96,0.15866863,-0.254781166,4.0703,-0.34123,-0.01574,0.32549,8,8.096910013,1
175,416.49,9,2,4,10,-1.63,170.72,0.162788491,-0.118475912,1.6495,-0.34408,-0.01909,0.32499,9,8.045757491,1
176,270.37,5,1,4,6,-0.078,101.65,0.161147175,-0.29019407,4.811,-0.34865,-0.01607,0.33258,9,8.045757491,1
177,419.53,9,2,4,9,0.328,131.19,0.155335,-0.327540935,1.7209,-0.33122,-0.01023,0.32099,9,8.045757491,1
178,405.5,8,2,5,9,0.077,142.19,0.162323,-0.337364817,2.186,-0.32948,-0.01228,0.3172,9,8.045757491,1
179,297.45,7,1,4,6,0.687,95.66,0.144950702,-0.206172825,2.5446,-0.33836,-0.01631,0.32205,12,7.920818754,1
180,391.47,8,2,5,9,-1.067,142.19,0.161986058,-0.322953314,2.1508,-0.34716,-0.02175,0.32541,12,7.920818754,1
181,431.59,9,2,4,8,1.539,121.96,0.148674635,-0.294517618,2.2297,-0.33772,-0.01194,0.32578,12,7.920818754,1
182,341.47,8,1,6,9,-1.021,148.61,0.17300754,-0.247317896,5.1821,-0.34179,0.03413,0.37592,15,7.823908741,1
183,352.53,7,2,4,6,2.151,101.65,0.143372589,-0.331355887,6.1498,-0.35152,-0.0166,0.33492,16,7.795880017,1
184,403.53,9,2,4,8,0.801,121.96,0.155485842,-0.277887143,2.2219,-0.34367,-0.01384,0.32983,18,7.744727495,1
185,281.4,3,2,4,6,-0.141,95.66,0.147305357,-0.18991145,2.8647,-0.34461,-0.01902,0.32559,25,7.602059991,1
186,309.46,3,2,4,6,0.771,95.66,0.144953875,-0.208564252,3.6611,-0.33895,-0.01537,0.32358,26,7.585026652,1
187,300.4,7,1,5,7,-0.904,121.88,0.156779614,-0.365289884,4.9244,-0.36366,-0.01394,0.34972,30,7.522878745,1
188,307.44,3,3,4,6,0.377,95.66,0.148125957,-0.176815956,3.8615,-0.34623,-0.01508,0.33115,32,7.494850022,1
189,295.43,3,2,4,6,0.315,95.66,0.145786978,-0.200802655,7.498,-0.34146,-0.00873,0.33273,35,7.455931956,1
190,323.39,7,1,4,8,-1.199,121.96,0.172417884,-0.208998115,4.4378,-0.36304,-0.01492,0.34812,40,7.397940009,1
191,355.45,6,2,6,10,-2.031,157.84,0.174094041,-0.305230731,3.1309,-0.35672,0.02478,0.3815,40,7.397940009,1
192,323.49,5,2,4,6,1.023,95.66,0.144371549,-0.226532846,2.5182,-0.32887,-0.01366,0.31521,40,7.397940009,1
193,387.48,7,3,4,8,-0.038,121.96,0.162248269,-0.192181399,3.1214,-0.3471,-0.01768,0.32942,46,7.337242168,1
194,295.43,3,2,4,6,0.111,95.66,0.147580578,-0.207324729,4.0157,-0.3469,-0.01666,0.33024,51,7.292429824,1
195,309.46,4,2,4,6,0.567,95.66,0.141163,-0.210352563,3.9028,-0.35357,-0.01684,0.33673,52,7.283996656,1
196,369.53,10,1,6,9,0.027,148.61,0.163852125,-0.264340962,7.2322,-0.36558,0.02771,0.39329,60,7.22184875,1
197,269.39,5,1,4,6,-0.186,95.66,0.15027578,-0.186974346,2.5138,-0.35288,-0.018,0.33488,65,7.187086643,1
198,323.49,3,2,4,6,1.228,95.66,0.138854471,-0.206405911,1.4891,-0.33568,-0.01352,0.32216,75,7.124938737,1
199,355.5,9,1,7,9,-0.151,157.4,0.172681396,-0.272555485,4.7116,-0.37326,0.03043,0.40369,80,7.096910013,1
200,297.45,7,1,4,6,0.619,95.66,0.146764021,-0.220716937,5.3249,-0.34719,-0.00982,0.33737,85,7.070581074,1
201,408.54,8,3,4,6,2.551,101.65,0.142290596,-0.193883669,7.3469,-0.33247,-0.01177,0.3207,90,7.045757491,1
202,283.42,6,1,4,6,0.163,95.66,0.148428318,-0.194247694,3.2819,-0.35122,-0.01848,0.33274,90,7.045757491,1
203,256.3,4,1,7,8,-1.707,148.53,0.193705242,-0.218044292,2.1475,-0.36129,-0.01308,0.34821,100,7,1
204,331.46,6,2,4,6,0.846,95.66,0.150614938,-0.135328608,2.3153,-0.34001,-0.01702,0.32299,100,7,1
205,355.5,9,1,6,9,-0.497,148.61,0.168375981,-0.254098675,6.5961,-0.36721,0.02885,0.39606,130,6.886056648,1
206,340.44,7,1,6,10,-0.261,160.97,0.179888936,-0.172617239,1.5793,-0.36361,-0.01068,0.35293,140,6.853871964,1
207,283.37,7,1,4,7,-0.232,111.51,0.16342095,-0.239142645,6.2523,-0.35165,-0.02352,0.32813,140,6.853871964,1
208,353.48,6,2,6,9,-0.801,148.61,0.171085608,-0.249195909,5.9264,-0.34831,0.02642,0.37473,150,6.823908741,1
209,395.57,8,2,6,9,0.556,148.61,0.1599896,-0.277243453,3.4376,-0.35896,0.02451,0.38347,150,6.823908741,1
210,298.43,8,1,4,6,0.913,101.65,0.150456674,-0.315985895,1.762,-0.36475,-0.0141,0.35065,150,6.823908741,1
211,381.54,7,2,6,9,0.1,148.61,0.164546281,-0.263287383,8.9847,-0.34811,0.02964,0.37775,180,6.744727495,1
212,326.49,10,1,4,6,1.826,101.65,0.145215404,-0.337862858,1.7583,-0.36478,-0.01412,0.35066,180,6.744727495,1
213,283.42,6,1,4,6,0.27,95.66,0.149392523,-0.212859443,5.092,-0.34834,-0.0106,0.33774,180,6.744727495,1
214,309.46,4,2,4,6,0.8,95.66,0.145794083,-0.201079352,2.9583,-0.33845,-0.01487,0.32358,200,6.698970004,1
215,270.37,5,1,4,6,-0.136,101.65,0.156960275,-0.283888082,3.8422,-0.36903,-0.01838,0.35065,200,6.698970004,1
216,284.4,7,1,4,6,0.457,101.65,0.15514693,-0.307183463,3.1614,-0.36517,-0.01605,0.34912,200,6.698970004,1
217,381.54,10,2,6,9,-0.026,148.61,0.167370544,-0.207309796,7.2443,-0.36584,0.02821,0.39405,200,6.698970004,1
218,255.36,5,1,5,6,-0.722,104.45,0.162508395,-0.210389427,2.5651,-0.35516,-0.00982,0.34534,200,6.698970004,1
219,340.52,11,1,4,6,2.282,101.65,0.142615018,-0.341495248,5.3823,-0.36932,-0.01843,0.35089,210,6.677780705,1
220,272.41,5,1,4,5,0.289,117.72,0.165581703,-0.207098785,2.5795,-0.33878,-0.02972,0.30906,212,6.673664139,1
221,254.37,5,1,4,5,0.783,92.42,0.158351615,-0.237065768,5.5817,-0.36857,-0.0112,0.35737,220,6.657577319,1
222,371.52,6,2,6,9,-1.286,173.91,0.180744796,-0.223969781,5.7993,-0.32707,0.01479,0.34186,230,6.638272164,1
223,417.57,10,2,7,9,0.814,157.4,0.171398283,-0.22947413,6.0117,-0.33759,0.02489,0.36248,230,6.638272164,1
224,367.51,6,2,6,9,-0.424,148.61,0.165733741,-0.249353707,6.7578,-0.36121,0.02629,0.3875,240,6.619788758,1
225,283.37,3,2,4,7,-1.371,104.89,0.1513677,-0.247406967,2.8922,-0.34844,-0.01928,0.32916,260,6.585026652,1
226,309.46,5,2,4,6,0.587,95.66,0.144160271,-0.169595726,3.5779,-0.35679,-0.01743,0.33936,265,6.576754126,1
227,312.46,9,1,4,6,1.369,101.65,0.14762849,-0.320478542,3.8305,-0.3691,-0.01846,0.35064,270,6.568636236,1
228,479.63,10,3,4,8,2.319,121.96,0.148828701,-0.236583407,1.3025,-0.33403,-0.01556,0.31847,270,6.568636236,1
229,353.47,5,2,4,8,-0.169,121.96,0.160773235,-0.314914778,1.4299,-0.35212,-0.01546,0.33666,290,6.537602002,1
230,270.37,6,1,4,6,0.001,101.65,0.157274225,-0.294118068,1.7776,-0.36476,-0.01409,0.35067,300,6.522878745,1
231,267.37,3,2,4,6,-0.597,95.66,0.15559859,-0.186766373,4.4166,-0.34583,-0.01735,0.32848,310,6.508638306,1
232,311.38,3,2,4,8,-1.594,121.96,0.169746857,-0.293029143,0.5644,-0.35337,-0.01592,0.33745,310,6.508638306,1
233,313.41,7,1,7,9,-1.575,157.4,0.193310045,-0.255053703,2.6681,-0.35365,0.03512,0.38877,330,6.48148606,1
234,341.47,8,1,7,9,-0.674,157.4,0.17735062,-0.262121927,7.9402,-0.36934,0.03546,0.4048,410,6.387216143,1
235,369.53,10,1,6,9,-0.041,148.61,0.166798286,-0.267750591,6.7586,-0.34254,0.0398,0.38234,430,6.366531544,1
236,339.45,6,2,6,9,-1.257,148.61,0.173795167,-0.243375721,2.4017,-0.34765,0.03801,0.38566,470,6.327902142,1
237,354.55,12,1,4,6,2.738,101.65,0.14106331,-0.359742726,1.7535,-0.36478,-0.01413,0.35065,600,6.22184875,1
238,304.38,5,2,4,6,0.256,101.65,0.155792707,-0.210904025,6.2595,-0.35742,-0.01364,0.34378,620,6.207608311,1
239,339.45,8,1,6,9,-1.102,148.61,0.179277771,-0.194045479,6.5566,-0.36779,0.02284,0.39063,650,6.187086643,1
240,403.54,9,2,6,9,0.214,148.61,0.167346965,-0.193934586,5.4345,-0.35528,0.00822,0.3635,670,6.173925197,1
241,357.47,9,1,7,10,-1.909,168.84,0.177508412,-0.321753563,7.7527,-0.34539,0.03733,0.38272,720,6.142667504,1
242,325.42,8,1,7,9,-1.307,157.4,0.1848658,-0.204394643,3.8535,-0.36946,0.02468,0.39414,720,6.142667504,1
243,325.42,6,2,6,9,-1.837,148.61,0.177029044,-0.183563931,4.4051,-0.37257,0.02099,0.39356,920,6.036212173,1
244,341.47,8,1,6,9,-0.846,148.61,0.17035452,-0.245001526,6.5433,-0.36563,0.02741,0.39304,940,6.026872146,1
245,367.51,6,2,6,9,-0.345,148.61,0.168894352,-0.266810807,3.5361,-0.34808,0.03876,0.38684,990,6.004364805,1
246,383.56,11,1,6,9,0.523,148.61,0.162918,-0.276132533,6.6116,-0.3495,0.04055,0.39005,12400,4.906578315,0
247,265.34,6,1,2,5,2.312,75.63,0.157237595,-0.254207328,6.3779,-0.34002,-0.02363,0.31639,15000,4.823908741,0
248,325.41,4,2,5,8,-0.78,130.75,0.166927044,-0.32688491,3.4667,-0.36158,-0.01447,0.34711,19000,4.721246399,0
249,404.47,8,2,6,10,-1.461,165.05,0.178110654,-0.304769721,5.2322,-0.34392,-0.03251,0.31141,19000,4.721246399,0
250,328.38,7,1,9,11,-3.439,192.65,0.196580952,-0.246154401,1.2998,-0.35436,-0.0208,0.33356,20000,4.698970004,0
251,264.36,6,1,3,5,2.137,78.43,0.158941395,-0.188306851,7.6453,-0.33523,-0.01871,0.31652,25000,4.602059991,0
252,292.37,6,1,3,6,1.717,95.5,0.171724175,-0.252761392,9.7906,-0.33855,-0.02164,0.31691,27000,4.568636236,0
253,390.49,8,2,6,9,-1.357,147.98,0.161089811,-0.24322221,4.2829,-0.34371,-0.01999,0.32372,47000,4.327902142,0
254,195.2,2,1,4,6,-0.914,105.31,0.195401682,-0.146141212,7.4981,-0.34066,-0.03012,0.31054,70000,4.15490196,0
255,315.35,6,1,7,10,0.07,186.34,0.335393909,-0.155042221,4.2925,-0.35348,-0.03767,0.31581,80000,4.096910013,0
256,326.35,7,1,9,10,-1.665,188.99,0.195865775,-0.356614311,2.8195,-0.35747,-0.03219,0.32528,100000,4,0
257,272.32,5,1,6,8,0.224,153.75,0.364025724,-0.158953259,4.7232,-0.34688,-0.0381,0.30878,100000,4,0
258,405.45,8,2,5,10,-0.858,159.26,0.175036039,-0.378762238,8.2479,-0.35779,-0.02261,0.33518,130000,3.886056648,0
259,255.33,5,1,5,6,0.277,135.48,0.260235483,-0.112135373,7.9681,-0.33702,-0.02923,0.30779,140000,3.853871964,0
260,293.4,8,1,2,5,3.225,75.63,0.151403419,-0.271960735,2.1753,-0.34609,-0.03146,0.31463,230000,3.638272164,0
261,271.33,5,1,5,7,0.373,141.72,0.3458537,-0.154763101,8.3757,-0.34502,-0.05203,0.29299,300000,3.522878745,0
262,418.55,9,2,4,9,-0.389,125.2,0.150963746,-0.230516812,6.0555,-0.33598,-0.01241,0.32357,300000,3.522878745,0
263,286.33,5,1,7,9,-3.468,156.77,0.185320676,-0.289401098,2.0852,-0.36297,-0.01575,0.34722,390000,3.408935393,0
264,280.32,6,1,7,8,-0.322,148.53,0.1886854,-0.196719581,5.04,-0.35986,-0.03321,0.32665,400000,3.397940009,0
265,196.25,2,1,2,4,0.732,94.31,0.1623503,-4.90E-02,7.389,-0.32463,-0.04704,0.27759,400000,3.397940009,0
266,287.31,5,1,6,9,-3.178,150.98,0.188302889,-0.375297486,1.1443,-0.35949,-0.01538,0.34411,420000,3.37675071,0
267,301.29,5,1,6,10,-2.969,168.05,0.2055782,-0.422597138,6.3015,-0.37215,-0.02333,0.34882,480000,3.318758763,0
268,222.23,4,1,6,7,0.687,131.79,0.17954836,-5.21E-02,2.8399,-0.34437,-0.03189,0.31248,500000,3.301029996,0
269,264.32,5,1,6,7,1.09,128.3,0.188270765,-0.126231304,8.0845,-0.34177,-0.02533,0.31644,1000000,3,0
270,246.28,3,1,6,8,-0.858,156.78,0.40811444,-0.19093259,5.1957,-0.34067,-0.03555,0.30512,1000000,3,0
271,241.26,3,2,2,4,2.219,66.4,0.175996714,-0.105363965,7.1795,-0.34256,-0.02632,0.31624,1500000,2.823908741,0
272,236.27,5,1,9,8,0.246,161.1,0.206567964,-2.11E-03,2.3661,-0.33121,-0.02093,0.31028,1500000,2.823908741,0
273,258.28,4,1,3,7,0.664,124.44,0.363825577,-0.204527659,2.5921,-0.35663,-0.04124,0.31539,2000000,2.698970004,0
274,194.22,3,1,7,6,0.094,125.22,0.205602957,-5.74E-02,2.5525,-0.32499,-0.01788,0.30711,2000000,2.698970004,0
275,302.35,6,1,7,9,-0.381,173.98,0.337616,-0.237983362,5.4872,-0.3619,-0.04218,0.31972,2000000,2.698970004,0
276,180.18,2,1,2,5,-0.167,79.29,0.1946104,-0.145291386,7.5136,-0.34514,-0.02702,0.31812,2000000,2.698970004,0
277,252.25,5,1,2,6,0.921,112.22,0.208594103,-0.181198472,3.041,-0.34989,-0.03251,0.31738,2500000,2.602059991,0
278,201.22,2,1,3,5,0.263,105.84,0.433864,-0.215085438,4.1331,-0.38504,-0.04762,0.33742,2500000,2.602059991,0
279,216.24,3,1,2,6,0.096,104.74,0.409404048,-0.184815003,4.5558,-0.36965,-0.04929,0.32036,3000000,2.522878745,0
280,195.2,2,1,4,6,-0.375,105.31,0.196504773,-0.142076242,4.1612,-0.33521,-0.02609,0.30912,3000000,2.522878745,0
281,162.16,2,1,2,4,1.176,73.12,0.155966059,-3.89E-02,4.9639,-0.3484,-0.02826,0.32014,4000000,2.397940009,0
282,179.2,3,1,5,5,0.84,99.2,0.188303,-5.76E-02,2.0517,-0.34111,-0.02365,0.31746,5000000,2.301029996,0
283,222.22,3,1,3,6,0.401,98.99,0.19123716,-0.162968195,4.1759,-0.33944,-0.02363,0.31581,5500000,2.259637311,0
284,194.21,2,1,4,5,-0.192,92.42,0.198133,-0.168739819,5.4312,-0.32649,-0.01851,0.30798,10000000,2,0
285,195.19,2,1,3,5,0.287,86.63,0.201570682,-0.239242242,3.4076,-0.33004,-0.02208,0.30796,10000000,2,0
